,strategy,buy_hold
2023-07-28,100000.0,100000.0
2023-07-31,100000.0,99000.6277607074
2023-08-01,100000.0,98500.79115741939
2023-08-02,100000.0,97571.53264374367
2023-08-03,100000.0,98818.39927198764
2023-08-04,100000.0,100446.3145010536
2023-08-07,100000.0,101574.87924399954
2023-08-08,100000.0,103438.68758432941
2023-08-09,99997.0,102767.84565217551
2023-08-10,100009.04,103386.82586100562
2023-08-11,99998.07,102822.84920503719
2023-08-14,99999.98,102921.07961225747
2023-08-15,100037.72,104861.16774539406
2023-08-16,100037.42,104845.85602091774
2023-08-17,99981.76,101984.32720990207
2023-08-18,99974.84,101628.79464580942
2023-08-21,99919.93,100578.06175959013
2023-08-22,99964.09,98356.67408943857
2023-08-23,99986.56,97226.65650908696
2023-08-24,99957.92,98667.36958852019
2023-08-25,99907.23,101217.123751705
2023-08-28,99921.33,100507.5509940287
2023-08-29,99890.45,102061.02273422439
2023-08-30,99837.47,103911.98346907637
2023-08-31,99871.33,102150.51307392099
2023-09-01,99871.9,102120.84872862785
2023-09-04,99872.62,102083.38720026855
2023-09-05,99866.95,102378.40339837891
2023-09-06,99912.87,99989.93429716986
2023-09-07,99922.34,99497.48727286716
2023-09-08,99891.16,101119.1685961971
2023-09-11,99853.41,103082.82140171088
2023-09-12,99797.6,105985.59489025609
2023-09-13,99807.28,105482.02422783761
2023-09-14,99751.51,108514.43062374512
2023-09-15,99751.51,109636.65279867893
2023-09-18,99751.51,107456.24317122216
2023-09-19,99751.51,108723.4892965983
2023-09-20,99751.51,108182.93785282256
2023-09-21,99751.51,109061.26702473631
2023-09-22,99751.51,108926.34806128983
2023-09-25,99751.51,110951.76170157827
2023-09-26,99751.51,111412.99027454792
2023-09-27,99751.51,110975.15580790145
2023-09-28,99751.51,112626.92875435013
2023-09-29,99748.52,113094.54698792462
2023-10-02,99760.25,112429.88938125958
2023-10-03,99721.26,114639.10051312186
2023-10-04,99733.01,113973.24851015245
2023-10-05,99751.55,112923.06382473811
2023-10-06,99767.02,112046.40507819186
2023-10-09,99809.44,109643.15370651394
2023-10-10,99824.85,108769.713562149
2023-10-11,99769.92,111882.15088258746
2023-10-12,99796.06,110401.29170790185
2023-10-13,99795.23,110448.3639954904
2023-10-16,99826.79,108660.17670487771
2023-10-17,99843.72,107700.59083319597
2023-10-18,99799.34,110215.26989919097
2023-10-19,99772.42,111740.67540948225
2023-10-20,99789.8,110755.71753963397
2023-10-23,99789.03,110799.28652351329
2023-10-24,99812.53,109467.78176936274
2023-10-25,99880.83,108220.10854980681
2023-10-26,99907.48,106777.2471636929
2023-10-27,99933.26,105381.57026394899
2023-10-30,99923.13,105929.84175403803
2023-10-31,99904.95,106914.44147685982
2023-11-01,99889.84,107732.63324630675
2023-11-02,99894.29,107491.4153072784
2023-11-03,99933.74,105355.4960965907
2023-11-06,99935.11,105281.07218911483
2023-11-07,99961.31,103862.6388199689
2023-11-08,99935.2,105276.34631842058
2023-11-09,99918.32,106190.58025624341
2023-11-10,99895.62,107419.18309603797
2023-11-13,99905.37,106891.38815197507
2023-11-14,99957.7,104057.95123176111
2023-11-15,99929.31,105595.5693243515
2023-11-16,99892.5,107588.22764735646
2023-11-17,99935.64,105252.42199572962
2023-11-20,99931.03,105502.03320303613
2023-11-21,99895.25,107439.61979947366
2023-11-22,99926.42,105751.62246214578
2023-11-23,99873.34,108625.74063958302
2023-11-24,99883.22,108090.94056030188
2023-11-27,99914.57,106393.2423747707
2023-11-28,99873.12,108637.53066029408
2023-11-29,99863.63,109151.29158405974
2023-11-30,99882.69,108119.58073362843
2023-12-01,99855.56,109588.74338595365
