,strategy,buy_hold
2023-07-28,100000.0,100000.0
2023-07-31,100000.0,99298.73491792152
2023-08-01,99997.0,101474.479815622
2023-08-02,100009.77,100826.82769845934
2023-08-03,99993.57,101648.53314199405
2023-08-04,100014.15,100604.6212802824
2023-08-07,99978.86,102394.31081705031
2023-08-08,99985.95,102034.72492049217
2023-08-09,99969.62,102862.90370269236
2023-08-10,99983.96,102135.68209373158
2023-08-11,100015.93,100514.6937864124
2023-08-14,100022.19,100197.19168705621
2023-08-15,99988.77,101891.68239893885
2023-08-16,100018.62,100377.90777962841
2023-08-17,100062.93,98130.79882643507
2023-08-18,100071.27,97707.80610969094
2023-08-21,100047.99,98888.48192001582
2023-08-22,100078.06,97363.86786913563
2023-08-23,100093.08,96601.75653708732
2023-08-24,100087.24,96898.24921316195
2023-08-25,100096.12,96447.74056502071
2023-08-28,100087.34,96893.2092186368
2023-08-29,100052.36,98667.17899817304
2023-08-30,100051.15,98728.17645261441
2023-08-31,100052.48,98660.95112632029
2023-09-01,100029.4,99831.22146835143
2023-09-04,100030.63,99768.89371273124
2023-09-05,100057.97,98382.50477083573
2023-09-06,100086.69,96925.82984596553
2023-09-07,100117.84,95346.4486372771
2023-09-08,100062.54,98150.90055615679
2023-09-11,100063.27,98113.71351050578
2023-09-12,100045.87,98996.13348899636
2023-09-13,100024.15,100097.81712417363
2023-09-14,100051.17,98727.43725349678
2023-09-15,100032.13,99692.90702664903
2023-09-18,100048.12,98881.99107600191
2023-09-19,100107.67,95862.03456642995
2023-09-20,100113.19,95581.9759203019
2023-09-21,100142.78,94081.2562844321
2023-09-22,100142.41,93633.59641921622
2023-09-25,100131.46,94145.12231502282
2023-09-26,100060.65,97453.51945146715
2023-09-27,100046.95,96760.5004725828
2023-09-28,100051.26,96551.77718106478
2023-09-29,100039.49,97120.62357647205
2023-10-02,100033.26,97421.95254942302
2023-10-03,100037.44,97219.87174654125
2023-10-04,100069.26,95682.09530467824
2023-10-05,100096.88,94347.21996484
2023-10-06,100101.66,94116.29093225657
2023-10-09,100134.67,92520.85252166707
2023-10-10,100152.89,91639.96964488702
2023-10-11,100187.59,89962.7593994658
2023-10-12,100155.36,91520.50478236598
2023-10-13,100196.88,89514.03656168593
2023-10-16,100142.71,92132.31076950826
2023-10-17,100158.66,91361.11578158161
2023-10-18,100187.78,89953.80166796104
2023-10-19,100226.71,88398.48802201496
2023-10-20,100226.71,89464.96234828181
2023-10-23,100223.7,90880.55262253058
2023-10-24,100248.47,89757.89999575955
2023-10-25,100238.0,90232.45198364371
2023-10-26,100241.87,90057.22216825768
2023-10-27,100248.49,89757.23717470316
2023-10-30,100243.4,89988.02615807058
2023-10-31,100219.87,91053.99307001222
2023-11-01,100276.23,88500.05763180404
2023-11-02,100339.84,85617.789587202
2023-11-03,100333.4,85909.41544000471
2023-11-06,100334.85,85843.87908006785
2023-11-07,100314.72,86756.18269021866
2023-11-08,100362.57,84587.67756415231
2023-11-09,100382.35,83370.1270006938
2023-11-10,100334.68,85348.51932737503
2023-11-13,100374.1,83712.56141784007
2023-11-14,100362.46,84195.42227499216
2023-11-15,100385.91,83222.47685269376
2023-11-16,100397.46,82742.89684313966
2023-11-17,100437.65,81074.76898955298
2023-11-20,100401.99,82554.81797453872
2023-11-21,100457.41,80254.69105678481
2023-11-22,100491.29,78848.88008201584
2023-11-23,100516.48,77803.16608403242
2023-11-24,100482.53,79212.08997850223
2023-11-27,100473.37,79592.27962082616
2023-11-28,100453.15,80431.51734337813
2023-11-29,100453.09,80434.33971876494
2023-11-30,100445.63,80743.85093347791
2023-12-01,100430.57,81368.8358581611
